180.77,294.31,40,40,239.5,302.43,40,40
181,293.49,40,40,239.14,302.12,40,40
180.38,292.45,40,40,239.64,301.3,40,40
180.7,292.21,40,40,239.46,301.13,40,40
181.17,292.22,40,40,239.55,301.48,40,40
180.92,291.94,40,40,239.52,301.59,40,40
179.96,290.8,40,40,239.76,301.16,40,40
179.73,290.11,40,40,239.49,301.09,40,40
179.33,289.99,40,40,239.52,300.59,40,40
179.37,289.8,40,40,238.63,299.73,40,40
179.56,290.29,40,40,237.8,300.14,40,40
178.95,289.33,40,40,237.29,299.23,40,40
179.91,290.23,40,40,236.37,299.96,40,40
180.28,291.42,40,40,235.41,299.38,40,40
179.88,291.63,40,40,235.15,298.63,40,40
180.03,292.65,40,40,235.28,299.08,40,40
179.46,291.38,40,40,235.74,298.63,40,40
179.36,291.4,40,40,236.11,298.25,40,40
180.08,291.14,40,40,236.57,298.55,40,40
180.53,290.77,40,40,236.79,298.25,40,40
180.55,291.03,40,40,236.97,298.17,40,40
181.97,291.62,40,40,237.24,298.88,40,40
182.57,291.05,40,40,238.83,298.29,40,40
183.77,290.01,40,40,241.14,297.34,40,40
184.85,288.24,40,40,243.36,295.41,40,40
186.14,288.33,40,40,245.31,295.47,40,40
187.14,287.5,40,40,246.83,295.48,40,40
187.6,286.53,40,40,248.63,294.64,40,40
188.29,285.39,40,40,250.89,293.45,40,40
189.42,280.85,40,40,254.11,292.35,40,40
190.99,277.19,40,40,257.39,292.25,40,40
192.59,274.76,40,40,259.52,292.23,40,40
193.96,272.17,40,40,261.94,292.79,40,40
196.92,270.36,40,40,268.65,290.56,40,40
199.2,269.12,40,40,272.53,281.6,40,40
201.17,268.42,40,40,275.89,274.12,40,40
204.34,268.04,40,40,277.85,269.39,40,40
207.1,267.41,40,40,279.53,266.6,40,40
209.43,267.01,40,40,281.43,266.72,40,40
213.22,266.4,40,40,283.25,266.12,40,40
216.9,266.08,40,40,286.15,264.63,40,40
220.45,265.92,40,40,288.79,264.78,40,40
224.53,266.07,40,40,292.63,263.32,40,40
227.93,265.66,40,40,295.31,261.93,40,40
232.13,267.07,40,40,299.6,259.54,40,40
237.35,267.62,40,40,302.81,257.43,40,40
241.21,268.65,40,40,307.09,255.66,40,40
